Time,her_sp_Estimate,her_sp_SE,her_fa_Estimate,her_fa_SE
1982,1211001427.02665,77777581.7369051,1055605466.19957,73594371.899756
1983,719607180.251834,43211843.2652264,630177674.289145,41259597.484236
1984,1049517807.66328,64830249.5398051,887253981.836274,60944404.1949216
1985,840953682.43418,56232783.9587541,649452918.083633,49271610.3340157
1986,1191906632.93448,71417014.9133427,713965578.79479,50829926.0493283
1987,2008649988.04646,118249255.607294,1514378985.9049,104485535.358109
1988,883689994.730714,78553281.6965148,607810034.036204,70116775.0129641
1989,944728499.911973,185173458.633411,820941835.666749,159600830.459742
1990,522732202.131356,78756965.9890536,441120613.083411,70516701.6947768
1991,204383751.968129,28596678.1611283,183752332.709883,25742509.5702875
1992,861606882.8083,75499782.6389428,727543871.341263,67363089.6735564
1993,1222334508.35558,89795259.5551696,1011733700.90426,83489366.0059281
1994,837693162.543867,68259209.2785179,778351915.775661,64390752.1791509
1995,775907445.310259,62932081.4151093,716344036.384437,61893636.6616186
1996,1156146953.31331,113078782.201192,980628653.037516,109336799.329917
1997,639809440.634649,55260440.8261935,514668865.644206,51560846.338094
1998,1008554411.60805,81008656.3196001,709913164.434918,67638501.1510788
1999,1263045622.98993,108232763.315841,1000106163.34132,101380530.616807
2000,1752351842.51113,156603202.743739,1585291132.20149,153639318.687074
2001,2148027184.88953,214010987.751984,2006232209.02772,212295222.309013
2002,1499233094.25403,107168978.780447,1260555345.29983,102056226.163447
2003,2031027835.15322,184003854.487013,1852837840.35192,178948913.391375
2004,2323485667.40929,173647096.484741,1664530448.47865,149141152.302403
2005,1705812561.0043,115350565.00868,1188327192.93458,96206597.3479533
2006,1136195203.6576,75650641.9057657,813522655.623501,62679447.4803754
2007,1306041609.79503,87378865.2829794,1143679498.56075,82893986.7725175
2008,1056801859.55892,82768267.6142785,886488684.197529,76407483.839177
2009,1213496527.61511,85553955.6766605,1007772876.42754,79620177.2722462
2010,1155387967.43146,81199617.2157536,937972169.346813,75389477.8876726
2011,638996191.967606,45700593.1795066,592831425.766048,44570996.5413852
2012,845389888.999465,66410608.7991709,744192019.673787,64474565.7471544
2013,1221262462.9459,107316297.803039,1033949280.77757,103524991.618154
2014,1490084644.82664,150013966.879786,1253024597.74509,134750146.997723
2015,1909617737.82607,189566133.440656,1852857222.28553,188673605.915935
2016,1449322715.98912,135101196.462797,1358582084.46321,133018581.657852
2017,1269466969.91652,106686247.573656,1191236595.08351,105103719.190787
2018,1875291796.93069,213381579.783405,1647652764.50435,205776023.985504
2019,999773798.332898,83018740.9818772,833061395.858871,75546052.8101946
2020,1294043969.48013,515255398.484789,1071084226.48466,496282732.002756
2021,939413087.322891,88296232.8578492,803127006.261911,82880546.2991878
2022,794318154.418357,81396891.5565266,703600086.81437,79164790.6430277
