Time,her_sp_Estimate,her_sp_SE,her_fa_Estimate,her_fa_SE
1982,6435218.25063411,248794.542841339,4599142.01496085,209164.539384305
1983,5982122.41787067,242522.308524318,4600603.37428426,218102.50666115
1984,5370685.48199862,202373.178690212,3936981.98618493,176374.578289812
1985,7727462.64908504,350766.802281509,6095200.64911997,334888.697867775
1986,6801551.23771238,255448.717814697,4319857.51596717,202901.691971637
1987,9519728.13149984,333505.584455103,6780654.01843759,299939.763342953
1988,4981794.88598042,304831.722740876,3634998.41325976,276748.494396452
1989,4363210.84176334,445932.569881691,3144475.59501616,267732.793039851
1990,10071486.7562195,787347.689818428,7325744.64808479,551287.076625297
1991,3107815.11144361,256771.911949278,2179331.94127682,147085.920827565
1992,6948382.30250116,386714.115933802,4776567.94205807,240069.856773978
1993,6592910.66987139,305592.131090252,4269576.8471901,212859.578980307
1994,6287082.6482096,386665.003002106,4314458.24779663,226053.040484608
1995,6706531.56200025,278752.157761822,4973572.90781381,251203.544412038
1996,9970533.93314204,532389.308373025,7304040.26635997,476276.492036428
1997,5878359.82422103,290893.55991427,4075513.38578339,234524.974182061
1998,8953182.35150418,408761.837342849,5751080.54521894,305228.549165169
1999,6929139.56385383,322106.315956945,5485151.77049879,287701.708381355
2000,8973362.7885244191,443337.68332776,6823607.54567148,403855.15574034
2001,12358449.1100712,607098.799744013,9354588.08810339,557778.829049548
2002,8578704.28710806,367370.509547375,6201320.9309957,323442.617011947
2003,9395200.40467953,496754.237867591,7506796.55697884,444768.202741776
2004,17806947.8217712,918965.999986481,13577875.3291563,841113.042222067
2005,8068022.98251346,343285.251378654,5348300.55138965,272749.40799912
2006,8528162.97112026,346356.333794549,6176518.12838589,297086.956524458
2007,9379288.34844813,398566.204552792,6578642.07394682,336846.061637125
2008,5322240.0349149,276871.292141354,3410633.48366293,201752.751772923
2009,9073111.86712403,378508.858940437,6467508.43793136,324313.431219099
2010,7295556.49264343,326646.952113473,5733602.27894366,298984.897857313
2011,8425092.01254511,371626.910003752,6088284.0405682,315784.40867602
2012,5194198.26967814,229958.187824505,3356408.99212189,185736.80389441
2013,7612266.91535582,400182.477806086,5508565.25622835,358470.560217912
2014,6879835.64260245,519675.986900205,4583345.05000123,347785.338666088
2015,9717920.39508674,530165.192561053,7591154.71282342,479816.388547289
2016,9631536.0873743,473522.511536094,7112316.65563719,404495.646421506
2017,6926692.36539324,308615.454791289,5242016.87348463,273060.020289854
2018,11382161.2083651,719950.107170381,8805932.87212943,633587.325403127
2019,5462351.0648914,290204.676357509,3912142.67546214,238795.862330295
2020,5711203.22897016,1017343.06800114,4030486.99526896,885737.910120297
2021,6555426.32625188,397027.400964203,4552024.03930211,318517.126214158
2022,5372155.80417806,286235.91024152,3880709.95842146,242172.516646584
